"Name","Runtime","Notes","Tags","AUC Precision Recall - DDR COTTON_WOOL_SPOT","AUC Precision Recall - DDR EXUDATES","AUC Precision Recall - DDR HEMORRHAGES","AUC Precision Recall - DDR MICROANEURYSMS","AUC Precision Recall - FGADR COTTON_WOOL_SPOT","AUC Precision Recall - FGADR EXUDATES","AUC Precision Recall - FGADR HEMORRHAGES","AUC Precision Recall - FGADR MICROANEURYSMS","AUC Precision Recall - IDRID COTTON_WOOL_SPOT","AUC Precision Recall - IDRID EXUDATES","AUC Precision Recall - IDRID HEMORRHAGES","AUC Precision Recall - IDRID MICROANEURYSMS","AUC Precision Recall - MESSIDOR COTTON_WOOL_SPOT","AUC Precision Recall - MESSIDOR EXUDATES","AUC Precision Recall - MESSIDOR HEMORRHAGES","AUC Precision Recall - MESSIDOR MICROANEURYSMS","AUC Precision Recall - RETLES COTTON_WOOL_SPOT","AUC Precision Recall - RETLES EXUDATES","AUC Precision Recall - RETLES HEMORRHAGES","AUC Precision Recall - RETLES MICROANEURYSMS","epoch","lr-AdamW","mIoU - DDR","mIoU - FGADR","mIoU - IDRID","mIoU - MESSIDOR","mIoU - RETLES","train_loss_epoch","train_loss_step","trainer/global_step","val_IoU COTTON_WOOL_SPOT","val_IoU EXUDATES","val_IoU HEMORRHAGES","val_IoU MICROANEURYSMS","val_loss","val_mIoU"
"fresh-grass-96","25764","-","DDR, IDRID, RETLES","0.4658878147602082","0.6269139051437378","0.4811219274997711","0.2499805986881256","0.3198137581348419","0.2694093883037567","0.3201392590999603","0.09511998295783997","0.6337372064590454","0.7951803803443909","0.669472873210907","0.4233335852622986","0.26719537377357483","0.4913209080696106","0.3446515202522278","0.218222051858902","0.5233049392700195","0.6923438310623169","0.523472249507904","0.4138192236423493","1200","0.000012843694271859142","0.43760812282562256","0.2958420515060425","0.5612010955810547","0.35318243503570557","0.4874333143234253","0.23682986199855804","0.25724703073501587","28800","0.28879979252815247","0.2917025685310364","0.2622760236263275","0.106556735932827","0.5011942386627197","0.38433200120925903"
"devoted-vortex-104","28801","-","DDR, IDRID, MESSIDOR, RETLES","0.4578924179077149","0.6320803165435791","0.4338342249393463","0.23127152025699615","0.34602195024490356","0.2354404479265213","0.2512340545654297","0.03873514384031296","0.6523497700691223","0.7933239340782166","0.6658908724784851","0.40896615386009216","0.24532432854175568","0.7421819567680359","0.4032748639583587","0.4285532534122467","0.5208280086517334","0.7009718418121338","0.5240214467048645","0.4015791416168213","1250","0.0000010000070056671766","0.426994264125824","0.28108012676239014","0.5654397010803223","0.44146862626075745","0.4867613911628723","0.2364879548549652","0.29599082469940186","32500","0.3019838333129883","0.2735360264778137","0.24205751717090607","0.1172991618514061","0.5065644979476929","0.381390392780304"
"still-leaf-101","24258","-","DDR, FGADR, IDRID, MESSIDOR","0.457368940114975","0.6329895853996277","0.5145682692527771","0.2747744619846344","0.44769832491874695","0.6798108816146851","0.6528772711753845","0.3174564242362976","0.6988955736160278","0.7922008633613586","0.672662615776062","0.4283767640590668","0.27259260416030884","0.7339568138122559","0.5706067085266113","0.5215961337089539","0.3837764263153076","0.4732452929019928","0.4625260829925537","0.30588966608047485","950","0.0004075005066507055","0.4416942596435547","0.475656121969223","0.5817502737045288","0.4823140501976013","0.2645682096481323","0.2802794277667999","0.3767892718315125","27550","0.3000325858592987","0.3177488148212433","0.28208503127098083","0.06831339001655579","0.5061405897140503","0.39013147354125977"
"lemon-pyramid-97","24653","-","DDR, FGADR, MESSIDOR","0.45660287141799927","0.6297722458839417","0.5707348585128784","0.24827170372009277","0.4415607154369354","0.686659574508667","0.6509619355201721","0.32848912477493286","0.6468971967697144","0.7483927607536316","0.6346449851989746","0.3616706430912018","0.351058691740036","0.7290223836898804","0.5588782429695129","0.5059888958930969","0.37841251492500305","0.4874893128871918","0.47210693359375","0.30894675850868225","1000","0.0002874581346631745","0.4449548125267029","0.4807740151882171","0.5215922594070435","0.4828732907772064","0.26075175404548645","0.2593878507614136","0.3605084121227264","28000","0.27266380190849304","0.32166680693626404","0.2483724504709244","0.06674182415008545","0.515643298625946","0.37831950187683105"
"olive-river-100","18470","-","DDR, MESSIDOR, RETLES","0.45486965775489807","0.6194876432418823","0.509984016418457","0.22580093145370483","0.32103854417800903","0.2556511163711548","0.23796547949314115","0.08645398169755936","0.6702865362167358","0.7544373273849487","0.6330161094665527","0.3760179877281189","0.3076638877391815","0.7422822117805481","0.39768022298812866","0.4493102431297302","0.5194254517555237","0.7020096182823181","0.5176387429237366","0.41882890462875366","825","0.0007815474264876389","0.4347046613693238","0.28118517994880676","0.5393452644348145","0.4477427303791046","0.4883694052696228","0.26238203048706055","0.2512706518173218","20625","0.28237584233283997","0.2966340482234955","0.23300528526306152","0.10289068520069122","0.5189858078956604","0.3776118755340576"
"tough-butterfly-94","7079","-","DDR, IDRID, MESSIDOR","0.4479251503944397","0.6391761302947998","0.5343164205551147","0.2590641677379608","0.3546585142612457","0.3664523959159851","0.4525788128376007","0.13394536077976227","0.6831457018852234","0.8068763613700867","0.6755352020263672","0.4420076608657837","0.14257796108722687","0.7418645620346069","0.5910438299179077","0.5129395723342896","0.37379419803619385","0.4959409832954407","0.4816318154335022","0.317065566778183","825","0.0007876698698131414","0.4327636659145355","0.25602900981903076","0.5829247236251831","0.4712155759334564","0.25537392497062683","0.22652411460876465","0.219517320394516","7425","0.21127024292945865","0.1083957701921463","0.1165946200489998","0.040107909590005875","0.6341708302497864","0.29134601354599"
"clear-serenity-71","8610","-","DDR, IDRID","0.4388827979564667","0.6417152285575867","0.488671600818634","0.26338475942611694","0.3902587592601776","0.40565335750579834","0.4570272564888001","0.08427304029464722","0.6679341197013855","0.8136278986930847","0.6935656070709229","0.417219340801239","0.2509162724018097","0.6211713552474976","0.5637866258621216","0.47153303027153015","0.3955593407154083","0.45119723677635193","0.4608429968357086","0.32055237889289856","1250","0.000001000096649610756","0.4348224997520447","0.2844051718711853","0.5797473788261414","0.38139817118644714","0.25412821769714355","0.21871520578861237","0.24887529015541077","8750","0.22283734381198883","0.16672687232494354","0.14175105094909668","0.03211825713515282","0.6109812259674072","0.3088211715221405"
"dandy-waterfall-91","25321","-","FGADR, IDRID, MESSIDOR","0.4102621376514435","0.5212445259094238","0.45310157537460327","0.21456459164619449","0.4702108800411224","0.6916911602020264","0.6501426100730896","0.3308943212032318","0.7346049547195435","0.8138167858123779","0.69326251745224","0.4265792667865753","0.32489585876464844","0.7278724908828735","0.5670142769813538","0.5219486355781555","0.3447939157485962","0.459658145904541","0.47220173478126526","0.29152271151542664","1250","0.0000010000089524214474","0.39126473665237427","0.48206597566604614","0.6017301082611084","0.48274898529052734","0.2820506691932678","0.26165056228637695","0.3814967274665833","28750","0.26477280259132385","0.331570565700531","0.2863364815711975","0.0753755196928978","0.5086143612861633","0.3880874812602997"
"quiet-universe-88","5559","-","DDR, MESSIDOR","0.4003515839576721","0.6374253034591675","0.5312246680259705","0.27526044845581055","0.35782748460769653","0.42579060792922974","0.3669339716434479","0.06569971889257431","0.652724027633667","0.7194255590438843","0.6092279553413391","0.3493998050689697","0.32357218861579895","0.7508087754249573","0.5702953338623047","0.5064024329185486","0.375925213098526","0.4812653660774231","0.47663596272468567","0.2976127862930298","700","0.0012199844703010855","0.42684173583984375","0.30268594622612","0.5078839659690857","0.4790440797805786","0.25661802291870117","0.27439793944358826","0.23348739743232727","5600","0.22115322947502136","0.20810885727405548","0.14179639518260956","0.04914046823978424","0.5912044644355774","0.3201504349708557"
"hopeful-pine-102","43013","-","FGADR, IDRID, MESSIDOR, RETLES","0.3994533121585846","0.4571874737739563","0.35943031311035156","0.22788387537002563","0.4411998391151428","0.690337598323822","0.6480175852775574","0.30867061018943787","0.6709867119789124","0.8008454442024231","0.6723001599311829","0.38811224699020386","0.3037746250629425","0.7301880717277527","0.4438353180885315","0.4588235318660736","0.5438907146453857","0.6863296627998352","0.5389235019683838","0.4140532612800598","1250","0.000001000002959894413","0.3092001974582672","0.4785836935043335","0.5735940933227539","0.4592592418193817","0.4947055578231811","0.2662449777126312","0.2961433529853821","50000","0.2946321666240692","0.42171016335487366","0.32545971870422363","0.16714341938495636","0.44290691614151","0.4375572204589844"
